,ReviewBody,ReviewStar,sentiment
14336,"M writing this review after using for almost 7 months ; now it has stopped working n have mailed my concern to JBL as it had 1 year of warranty but believe me nobody is ready to reslove or respond to my query; wastey my money on this just because of brand value totally disappointed
",1,0
7175,"totally uncomfortable; poor sound quality; always fall from ears;
",1,0
7167,"Not satisfied with battery and its not stuck on ear . When i buy it shows u can return but now not  this oration when i have it only replacement iam not getting whats wrong with amazon i love to buy but this time very very disappointed . N now its not working tooo
",1,0
7165,"they are not comfortable ear start paining after 15 20 minsAND SOUND QUALITY IS TATTI BC ☹️ ACHE REVIEWS SE FAS MAT JANA...MAT LO ⚠️⚠️⚠️⚠️
",1,0
7153,"Second time am facing the issue. Double voice hearing like a mimicry.
",1,0
7152,"Very bad
",1,0
7150,"One of the earphones loses volume after just two or three days. Got it replaced once; and had the same problem again. Cant return it as I foolishly threw away the box
",1,0
7149,"Material not good
",1,0
7142,"The earphones have literally stopped working in 4 months. The voice is no more coming even after taking care and keeping safely. Just not worth the price. JBL what are you doing with such bad quality products. The covers of the ear buds fell off in the first month itself.
",1,0
7138,"sound quality is very bad
",1,0
7132,"Worst
",1,0
7129,"Any service centre’s in Bangalore ?
",1,0
7125,"Product is good but only thing is jbl serviceMine  after 20days battery is not charging and went to jbl service centre in Hyderabad branch they took more than one month to replace my product.And very worst service they have no response;even they won't lift calls also
",1,0
7123,"quality is very bad.. i think its not original.
",1,0
7120,"i want to exchange my product with the same please consider for late intimation
",1,0
7119,"Can’t hear what the opposite person is saying. Nor they can hear us. It’s just 3months and Iam not happy
",1,0
2024,"Very bad product. Stopped working exactly after 3 months use.
",1,0
7118,"Not good
",1,0
7183,"Ordered 2. In that; one started to malfunction within few days. Right side is not audible.
",1,0
7186,"Never Expected such poor quality product from Sennheiser.Normal Sound quality No Bass Effect Poor Battery life and no music forward backward option ;bike riders never ho go this product.Its not at all worth for 7.5k .Few guys rated this product 4.5 * .I guess those guys are new to earphone world 🤣🤣
",1,0
7189,"Disappointed with the build quality the wire broke when the earphones were connected to my phone and i accidentally dropped it besides the bass Was not worth
",1,0
7190,"Good sound quality; but Almost no sound is coming from right side earpiece after 7 months of use.
",1,0
1983,"I bought it 3 month back; after a month the right of the headphone stop to work and within 3 months of time both the part right and left is not working.Its not consistent
",1,0
7293,"If I would have written a review in the initial days of usage of these earphones; it would have been an amazing review of the product. But after 6 months of usage; I observed a volume difference between the two ear buds. This is something that is damaging for the ear. No one would recommend using such a product. Sennheiser should really look into the product's performance in longer term(more than 6 months). If the product is not able to deliver as promised after 6 months; then it should be mentioned in the product's description.
",1,0
1985,"I bought this in December 2018 for 1500/-It worked fine for a few months and then one of the earpieces stopped working after4 months. The customer care is non-responsive.
",1,0
7283,"I purchased both Cx 180 and Cx 275s. After few months of use earbuds quality of Cx 180 is still same while Cx 275s hardly fits in my ear now. Cx 180 has more bass and good audio output whereas Cx 275s sounds more of treble and overall experience music quality is degraded .
",1,0
7278,"These are pathetic earphones for such a high price. I bought them after seeing good reviews but ended up feeling bad for taking a bad decision of buying them. They advertised as noise cancelling which is not. There is not any quantable noise cancelling or noise reduction. They feel loose in the ear and won't be comfortably inside the ear. After not more than a month of use; microphone is not working. Dealing with Senheiser Customer care now. Don't go for these ear phones. There is a reason why they are selling for 2.5k while the MRP of product is 4.5K. Because they are bad performing. Don't buy them.
",1,0
1989,"Sound quality not good.Within one month one side headphone not work.Do not buy this product; it's your wastage of money.Within one month one side not worKing ...
",1,0
7276,"Senheiser is best known for best quality earphones.Previosly I used Sennheiser CX 275 S earphones which was One of the Best in its range.Later I think of buying another one from Senheiser; So Ordered Sennheiser CX 2.00G (Which is costly than Senheiser CX 275 S) But Got Totally disappointment. Sennheiser CX 2.00G do not worth a 500 rs cost.I am writing names of earphones again N again because I found that Review Content for both the earphones 1-  Sennheiser CX 275 S; 2-  Sennheiser CX 2.00G is same. Amazon is showing same reviews for both the earphones. But both are totally different in Quality.Check the reviews here;- https://www.amazon.in/gp/product/B00NQ17ZUS/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1- https://www.amazon.in/gp/product/B008V6T1IW/ref=ppx_yo_dt_b_asin_title_o01_s00?ie=UTF8&psc=1
",1,0
7274,"After using 1 month the jack pin wire start giving trouble hence; I would suggest Dont buy. They had mentioned warranty and all but in actual there is no warranty and amazon will not be able to replace it once it is damaged.
",1,0
7115,"My right ear piece suddenly stopped working; now have to go at their service center and get it checked
",1,0
7273,"It is a defective piece. Instead of noice cancellation; it is amplifying the surrounding noice.As a result surrounding noice is more clearly audible than my sound to the other person.I just want to return this product.
",1,0
7238,"This is my second Sennheiser ear phone where the volume has gone down significantly within 4 months of buying the product. I have tried to contact the service center multiple times but no one picks up the phone. Will not recommend this product to anyone.
",1,0
7228,"Worst.  For 1700 this is a crap. Can think to buy for Rs. 699. Poor bass genuinely there is no bass.  And there is no option for return . Replacement of the same product nonly available. Disappointed totally.
",1,0
7225,"Definitely this is not for the base lovers. Very low base sometimes not that too. Not loud. I have to increase the audio level to 70% and higher to hear it well. Even a low range earphone can perform well compared to this. Please don't buy it. I even doubt on its originality. I used cx275 previously which was too good and this one is terrible.
",1,0
7217,"One of the most regrettable purchases. Sound quality is absolutely horrible. Tested on various sources like 4 different phones; DAP; Headphone amps. Pathetic. Item is only replaceable and not refundable. My friends Mi Piston earphones are way better than this. Very thin and flimsy build to add to the agony.
",1,0
7215,"The product Sennheiser CX 275 S In -Ear Universal Mobile Headphone With Mic (Black); it claims universal but it dose not support all MOBILE PHONE!! This vital information Amazon or seller has not mentioned anywhere and Pure case of misleading the customer.The Phone which it supports is mentioned in the inside of the packet which is visible only once you open the complete pack.The built quality is very Cheap.As it didn't work with my phone cant comment on voice quality.Total disappointment/worst product/ False claim
",1,0
7204,"One side of earplugs isn't working properly getting proper sound from right the mic is not that great as expected..
",1,0
2001,"After 18 days of usage. Suddenly One of the ear phone mic is broken and lost.. And they will not return or replace because 15 days are crossed... Build quality is very poor...
",1,0
7198,"I have been using cx180 since almost 4 years. Those earphones were of much better quality than the cx275s.The sound quality is OK; but the wires are too thin and feels very delicate. Apart from the quality; I had hard time authenticating the earphones from sennheiser; as the QR code on the box doesn't work anymore and the customer care services over the call & mail are Horrible. After wasting cumulatively 3 hours over the phone listening to YOUR CALL IS IMPORTANT TO US; PLEASE HOLD THE LINE  and WASTING 4 days; (including sat and sun)  I had given up all the hopes and decided to send the product back to Amazon. But still somehow I convinced myself to keep the earphones ( may be due to the Positive Amazon reviews and my experience with Cx180.I Just hope that I never get a chance to use their warranty services.
",1,0
7248,"1- Not durable2-Very low build quality3-Output is not much better than cx 180 (I have both the earphones)Overall unsatisfiedHope it helps
",1,0
1982,"Its just completed 4 month and right side earn phone automatically off.  So request u Amazon can u share warranty card or replacement card again so that will go service center.
",1,0
7110,"Battery life is good; but the speakers are just normal. No Bass at all. Not suitable for enjoying music. Suitable only for calling.
",1,0
7102,"received jbl wireless headphone with duplicate seal mark and after a week sound is getting very low in high volum even during the traveling not able listen audio properly.. first time i have very disappointed the service of amazon.
",1,0
7035,"sound is not good;just a entry level earphone really dissapointed
",1,0
2062,"The quality of product is not up to the mark scale. The voice when connected over Bluetooth is not clear some irritating voice like burrrrr...is continuing coming.
",1,0
